code_udi,sentence,population
002000430,Votre réseau alimente de façon permanente 373 personnes.,373
002000434,Votre réseau alimente de façon permanente 318 personnes.,318
002000437,Votre réseau alimente de façon permanente 93 personnes.,93
002000442,Votre réseau alimente de façon permanente 928 personnes.,928
002000449,Votre réseau alimente de façon permanente 349 personnes.,349
002000459,Votre réseau alimente de façon permanente 1002 personnes.,1002
002000463,Votre réseau alimente de façon permanente 241 personnes.,241
002000482,Votre réseau alimente de façon permanente 468 personnes.,468
002000490,Votre réseau alimente de façon permanente 1229 personnes.,1229
002000500,Votre réseau alimente de façon permanente 3648 personnes.,3648
002000506,Votre réseau alimente de façon permanente 1415 personnes.,1415
002000514,Votre réseau alimente de façon permanente 2066 personnes.,2066
002000516,Votre réseau alimente de façon permanente 1309 personnes.,1309
002000521,Votre réseau alimente de façon permanente 234 personnes.,234
002000527,Votre réseau alimente de façon permanente 529 personnes.,529
002000531,Votre réseau alimente de façon permanente 3952 personnes.,3952
002000537,Votre réseau alimente de façon permanente 672 personnes.,672
002000540,Votre réseau alimente de façon permanente 3100 personnes.,3100
002000557,Votre réseau alimente de façon permanente 1707 personnes.,1707
002000563,Votre réseau alimente de façon permanente 637 personnes.,637
002000570,Votre réseau alimente de façon permanente 2408 personnes.,2408
002000578,Votre réseau alimente de façon permanente 1012 personnes.,1012
002000583,Votre réseau alimente de façon permanente 327 personnes.,327
002000590,Votre réseau alimente de façon permanente 5909 personnes.,5909
002000596,Votre réseau alimente de façon permanente 3747 personnes.,3747
002000601,Votre réseau alimente de façon permanente 1248 personnes.,1248
002000607,Votre réseau alimente de façon permanente 1674 personnes.,1674
002000611,Votre réseau alimente de façon permanente 646 personnes.,646
002000615,Votre réseau alimente de façon permanente 2090 personnes.,2090
002000626,Votre réseau alimente de façon permanente 1129 personnes.,1129
002000630,Votre réseau alimente de façon permanente 560 personnes.,560
002000633,Votre réseau alimente de façon permanente 544 personnes.,544
002000636,Votre réseau alimente de façon permanente 366 personnes.,366
002000641,Votre réseau alimente de façon permanente 349 personnes.,349
002000653,Votre réseau alimente de façon permanente 1504 personnes.,1504
002000658,Votre réseau alimente de façon permanente 810 personnes.,810
002000661,Votre réseau alimente de façon permanente 290 personnes.,290
002000672,Votre réseau alimente de façon permanente 646 personnes.,646
002000676,Votre réseau alimente de façon permanente 824 personnes.,824
002000679,Votre réseau alimente de façon permanente 464 personnes.,464
002000683,Votre réseau alimente de façon permanente 2597 personnes.,2597
002000693,Votre réseau alimente de façon permanente 834 personnes.,834
002000706,Votre réseau alimente de façon permanente 608 personnes.,608
002000707,Votre réseau alimente de façon permanente 146 personnes.,146
002000712,Votre réseau alimente de façon permanente 1500 personnes.,1500
002000716,Votre réseau alimente de façon permanente 2252 personnes.,2252
002000743,Votre réseau alimente de façon permanente 1335 personnes.,1335
002000747,Votre réseau alimente de façon permanente 1735 personnes.,1735
002000752,Votre réseau alimente de façon permanente 3365 personnes.,3365
002000764,Votre réseau alimente de façon permanente 944 personnes.,944
002000770,Votre réseau alimente de façon permanente 110 personnes.,110
002000782,Votre réseau alimente de façon permanente 251 personnes.,251
002000788,Votre réseau alimente de façon permanente 455 personnes.,455
002000792,Votre réseau alimente de façon permanente 1437 personnes.,1437
002000795,Votre réseau alimente de façon permanente 2952 personnes.,2952
002000801,Votre réseau alimente de façon permanente 262 personnes.,262
002000807,Votre réseau alimente de façon permanente 725 personnes.,725
002000811,Votre réseau alimente de façon permanente 24 personnes.,24
002000815,Votre réseau alimente de façon permanente 805 personnes.,805
002000818,Votre réseau alimente de façon permanente 432 personnes.,432
002000821,Votre réseau alimente de façon permanente 1359 personnes.,1359
002000824,Votre réseau alimente de façon permanente 235 personnes.,235
002000826,Votre réseau alimente de façon permanente 407 personnes.,407
002000831,Votre réseau alimente de façon permanente 269 personnes.,269
002000834,Votre réseau alimente de façon permanente 1375 personnes.,1375
002000839,Votre réseau alimente de façon permanente 185 personnes.,185
002000852,Votre réseau alimente de façon permanente 1205 personnes.,1205
002000855,Votre réseau alimente de façon permanente 648 personnes.,648
002000863,Votre réseau alimente de façon permanente 2835 personnes.,2835
002000869,Votre réseau alimente de façon permanente 1424 personnes.,1424
002000873,Votre réseau alimente de façon permanente 634 personnes.,634
002000878,Votre réseau alimente de façon permanente 679 personnes.,679
002000881,Votre réseau alimente de façon permanente 941 personnes.,941
002000889,Votre réseau alimente de façon permanente 2738 personnes.,2738
002000893,Votre réseau alimente de façon permanente 1092 personnes.,1092
002000899,Votre réseau alimente de façon permanente 572 personnes.,572
002000906,Votre réseau alimente de façon permanente 1376 personnes.,1376
002000912,Votre réseau alimente de façon permanente 1817 personnes.,1817
002000922,Votre réseau alimente de façon permanente 1896 personnes.,1896
002000925,Votre réseau alimente de façon permanente 1776 personnes.,1776
002000930,Votre réseau alimente de façon permanente 892 personnes.,892
002000947,Votre réseau alimente de façon permanente 4254 personnes.,4254
002000959,Votre réseau alimente de façon permanente 4731 personnes.,4731
002000963,Votre réseau alimente de façon permanente 1842 personnes.,1842
002000975,Votre réseau alimente de façon permanente 42 personnes.,42
002000976,Votre réseau alimente de façon permanente 2035 personnes.,2035
002001002,Votre réseau alimente de façon permanente 6053 personnes.,6053
002001026,Votre réseau alimente de façon permanente 9374 personnes.,9374
